id,observed_on,quality_grade,latitude,longitude,taxon_id,taxon_name,common_name,iconic_taxon,rank,place_guess,observer,num_id_agreements,url
117165744,2022-05-15,research,45.4196768613,-93.4412005625,39885,Emydoidea blandingii,Blanding's Turtle,Reptilia,species,"Minnesota, US",pipen3107,3,https://www.inaturalist.org/observations/117165744
117166241,2022-05-15,research,47.3819416667,-91.18702,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Silver Bay, MN, US",msmebakken,2,https://www.inaturalist.org/observations/117166241
117171083,2022-05-15,research,46.6915792041,-95.7192847599,28557,Storeria occipitomaculata,Red-bellied Snake,Reptilia,species,"Good Oak Trail, Frazee, MN, US",eschwen,3,https://www.inaturalist.org/observations/117171083
117188610,2022-05-14,research,44.5013825731,-93.031975881,73801,Plestiodon septentrionalis,Prairie Skink,Reptilia,species,"Randolph, MN, US",gonodactylus,2,https://www.inaturalist.org/observations/117188610
117189016,2022-05-15,research,45.4183434031,-93.7032558029,146314,Opheodrys vernalis,Smooth Greensnake,Reptilia,species,"Sherburne County, MN, USA",dailyentomologist,4,https://www.inaturalist.org/observations/117189016
117189148,2022-05-15,research,44.90343,-93.68135,39556,Apalone spinifera,Spiny Softshell,Reptilia,species,"Minnetrista, MN, US",eliz913,2,https://www.inaturalist.org/observations/117189148
117203318,2022-05-15,research,45.4241120357,-93.6399293136,60347,Pituophis catenifer sayi,Bullsnake,Reptilia,subspecies,"Minnesota, US",refugerover,4,https://www.inaturalist.org/observations/117203318
117203338,2022-05-15,research,45.5163144285,-93.7460127098,39885,Emydoidea blandingii,Blanding's Turtle,Reptilia,species,"Minnesota, US",refugerover,4,https://www.inaturalist.org/observations/117203338
117203940,2022-05-15,research,45.2691894718,-93.0000298489,60347,Pituophis catenifer sayi,Bullsnake,Reptilia,subspecies,"Minnesota, US",robertdcamp,4,https://www.inaturalist.org/observations/117203940
117224457,2022-05-15,research,45.1526153,-96.1704131,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"Lake Shore Township, MN, USA",rager001,2,https://www.inaturalist.org/observations/117224457
117224940,2022-05-15,research,45.00561945,-92.9001616667,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Sunfish Lake Park, Lake Elmo, MN, US",john_strand,2,https://www.inaturalist.org/observations/117224940
117235414,2022-05-14,research,45.2438931213,-95.0683200674,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Kandiyohi County, US-MN, US",lynseyn,2,https://www.inaturalist.org/observations/117235414
117236376,2022-05-15,research,44.8691712322,-92.7871747317,108348,Pantherophis ramspotti,Western Foxsnake,Reptilia,species,"Afton State Park, Afton, MN, US",abampamp,3,https://www.inaturalist.org/observations/117236376
117237059,2022-05-14,research,45.1706883333,-93.4223416667,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"W Hayden Lake Rd, Dayton, MN, US",robinc2803,1,https://www.inaturalist.org/observations/117237059
117238802,2022-05-14,research,44.7543105,-92.9845044,39556,Apalone spinifera,Spiny Softshell,Reptilia,species,"13690 Pine Bend Trail, Rosemount, MN 55068, USA",tate_putman,3,https://www.inaturalist.org/observations/117238802
117238806,2022-05-14,research,44.7543105,-92.9845044,39847,Graptemys pseudogeographica,False Map Turtle,Reptilia,species,"13690 Pine Bend Trail, Rosemount, MN 55068, USA",tate_putman,4,https://www.inaturalist.org/observations/117238806
117248745,2022-05-15,research,45.3035873997,-94.9325917997,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"New London Township, MN, USA",adludwig,2,https://www.inaturalist.org/observations/117248745
117312319,2022-05-16,research,45.3965386984,-93.2353190252,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Minnesota, US",saulih,3,https://www.inaturalist.org/observations/117312319
117318552,2022-05-15,research,45.2553283333,-92.7633883333,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Saint Croix National Scenic Riverway, Scandia, MN, US",madland,2,https://www.inaturalist.org/observations/117318552
117333667,2022-05-16,research,44.7490727382,-93.1657935306,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Apple Valley, MN 55124, USA",iamsamiam,2,https://www.inaturalist.org/observations/117333667
117340302,2022-05-16,research,45.0947744824,-93.5012597591,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Maple Grove, MN 55311, USA",thereasa2,3,https://www.inaturalist.org/observations/117340302
117355488,2022-05-16,research,45.3989985462,-93.1615703306,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"East Bethel, MN, USA",dailyentomologist,3,https://www.inaturalist.org/observations/117355488
117373673,2022-05-16,research,44.0350159583,-92.8630298004,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Dodge Center, MN 55927, USA",taco34,1,https://www.inaturalist.org/observations/117373673
117374087,2022-05-15,research,44.9784694444,-93.508575,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"Wayzata, MN 55391, USA",dawn_peterson,2,https://www.inaturalist.org/observations/117374087
